time, state, wantStop, stateLock, currentState, t_start
39.746574, -1, true, false, null, 0.0
39.761096, -1, true, false, null, 0.0
39.763327, -1, true, false, null, 0.0
39.772215, -1, true, false, null, 0.0
39.782572, -1, true, false, null, 0.0
39.793099, -1, true, false, null, 0.0
39.802505, -1, true, false, null, 0.0
39.812627, -1, true, false, null, 0.0
39.823505, -1, true, false, null, 0.0
39.832556, -1, true, false, null, 0.0
39.842398, -1, true, false, null, 0.0
39.852531, -1, true, false, null, 0.0
39.862452, -1, true, false, null, 0.0
39.873433, -1, true, false, null, 0.0
39.883477, -1, true, false, null, 0.0
39.892213, -1, true, false, null, 0.0
39.902243, -1, true, false, null, 0.0
39.913186, -1, true, false, null, 0.0
39.923215, -1, true, false, null, 0.0
39.932272, -1, true, false, null, 0.0
39.943191, -1, true, false, null, 0.0
39.953157, -1, true, false, null, 0.0
39.963145, -1, true, false, null, 0.0
39.97312, -1, true, false, null, 0.0
39.98224, -1, true, false, null, 0.0
39.993165, -1, true, false, null, 0.0
40.003356, -1, true, false, null, 0.0
40.013234, -1, true, false, null, 0.0
40.022066, -1, true, false, null, 0.0
40.033019, -1, true, false, null, 0.0
40.04306, -1, true, false, null, 0.0
40.052973, -1, true, false, null, 0.0
40.061965, -1, true, false, null, 0.0
40.072964, -1, true, false, null, 0.0
40.082922, -1, true, false, null, 0.0
40.092912, -1, true, false, null, 0.0
40.102869, -1, true, false, null, 0.0
40.112843, -1, true, false, null, 0.0
40.122799, -1, true, false, null, 0.0
40.132861, -1, true, false, null, 0.0
40.142465, -1, true, false, null, 0.0
40.152451, -1, true, false, null, 0.0
40.162528, -1, true, false, null, 0.0
40.172358, -1, true, false, null, 0.0
40.18251, -1, true, false, null, 0.0
40.192321, -1, true, false, null, 0.0
40.202338, -1, true, false, null, 0.0
40.213292, -1, true, false, null, 0.0
40.223196, -1, true, false, null, 0.0
40.233262, -1, true, false, null, 0.0
40.243335, -1, true, false, null, 0.0
40.252218, -1, true, false, null, 0.0
40.263209, -1, true, false, null, 0.0
40.273095, -1, true, false, null, 0.0
40.28305, -1, true, false, null, 0.0
40.292046, -1, true, false, null, 0.0
40.302103, -1, true, false, null, 0.0
40.313031, -1, true, false, null, 0.0
40.322977, -1, true, false, null, 0.0
40.331985, -1, true, false, null, 0.0
40.342955, -1, true, false, null, 0.0
40.351925, -1, true, false, null, 0.0
40.363031, -1, true, false, null, 0.0
40.372932, -1, true, false, null, 0.0
40.381875, -1, true, false, null, 0.0
40.392836, -1, true, false, null, 0.0
40.40193, -1, true, false, null, 0.0
40.412918, -1, true, false, null, 0.0
40.422801, -1, true, false, null, 0.0
40.43289, -1, true, false, null, 0.0
40.442789, -1, true, false, null, 0.0
40.451785, -1, true, false, null, 0.0
40.46276, -1, true, false, null, 0.0
40.472678, -1, true, false, null, 0.0
